,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,AS,R7,ST,BS,P7,TO,PC1,PC2,cluster
34,DINCA Elena,0,0,0,0,3,3,1,0,3,3,0,0,0,0,0,1,1,0,1,0,0,1,-0.21498853008889868,0.30485282908972333,2
35,DINDILIGAN Alexandra,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4232718217618345,-0.04886041798030652,1
36,DMITRIEVA Daria,3,2,4,0,9,3,6,2,0,1,0,0,6,14,0,5,18,1,8,2,9,17,1.2682542987691545,0.09268524594308157,4
37,DRABIK Joanna,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,4,0,-0.13815535769299891,0.04865696482051508,3
38,DUIJNDAM Rinka,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.4148509488456689,-0.03816287442999476,1
39,DULFER Kelly,0,0,6,1,2,1,7,6,5,3,0,1,5,12,0,4,18,3,11,8,7,16,1.3732498494562364,0.24191251399156527,4
40,DUMANSKA Yuliya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
41,DZAFEROVIC Katarina,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4196569392857953,-0.11304112639468764,1
42,ECKERLE Dinah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,-0.39604911070565546,-0.132195386275421,1
43,EDWIGE Beatrice,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,3,9,4,2,0.09449139542987464,0.09333347792326598,3
44,FALUVEGI Dorottya,0,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,-0.2529419701774498,0.25596976196704846,2
45,FERNANDEZ Alicia,0,0,1,2,2,4,1,2,2,0,1,0,0,1,0,1,17,3,6,0,0,13,0.43825109542967355,0.09964567380983569,4
46,FLIPPES Laura,0,0,1,0,5,6,2,0,4,1,0,0,0,0,0,0,0,0,5,0,2,2,-0.04964621652709347,0.43936586284502716,2
47,FOMINA Olga,0,0,0,0,10,3,0,0,2,0,0,0,0,0,0,1,1,1,2,0,1,2,-0.13418416342778303,0.29365316528990476,2
48,FOPPA Pauletta,0,0,15,8,3,1,1,0,1,2,0,0,0,0,0,1,5,7,10,3,1,7,0.6302679185293641,0.5571666630339355,4
49,FORSBERG Johanna,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4261132901546766,-0.10013795414660381,1
50,FRAFJORD Marit,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,4,1,4,14,4,0,0.11589362238504243,0.15039293411797885,3
51,FRERIKS Merel,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,-0.2828770768640981,0.012040586674086199,0
52,GABISOVA Galina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
53,GASSAMA Kaba,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,2,2,1,2,1,1,-0.17586663156154567,-0.00896278213698475,0
54,GAWLIK Weronika,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.4011174858868742,-0.04533808833933552,1
55,GEGA Marta,8,1,2,0,0,0,0,1,1,0,0,0,1,11,0,3,7,0,2,1,1,7,0.15771759767531937,-0.2877474048508348,0
56,GLAUSER Laura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858563,1
57,GOMILAR-ZICKERO Tija,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4339488671352527,-0.06868818128761656,1
58,GONZALEZ Lara,0,0,0,0,1,0,1,0,5,0,0,0,3,3,1,2,4,3,5,4,4,2,0.23186911212183225,0.10148621573461696,3
59,GONZALEZ Mireya,0,0,1,3,6,2,0,5,0,0,0,1,3,9,0,3,7,3,4,0,3,9,0.5440829787072493,0.031985424242147405,4
60,GORNA Adrianna,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-0.36771878941263075,0.03512647404582843,0
61,GORSHENINA Olga,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,-0.2990300317346093,-0.07688821479665031,0
62,GRANLUND Rikke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.4316376184327707,-0.11371349691358347,1
63,GRBIC Itana,0,0,1,1,2,3,0,0,0,0,0,0,6,8,0,2,13,4,0,0,0,18,0.4054508383602573,-0.31115436542791947,4
64,GRIJSEELS Alina,1,0,2,4,2,1,5,5,0,0,0,0,2,5,0,2,9,4,0,0,1,5,0.2559650990025908,-0.18530565017104225,0
65,GROS Ana,3,2,0,1,0,2,0,0,0,0,0,0,11,10,0,1,6,3,2,0,2,9,0.3120893357442973,-0.29727394559857345,0
66,GROßMANN Ina,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,1,0,-0.279721666993491,0.003276872912318809,0
67,GRZYB Kinga,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,-0.3551342585568819,-0.017802836907820294,1
